OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
62,Sidiyasa et al. 1953,L 3928428,javensis,"Mendalam river bank, Putussibau, betung Kerihun NP, West Kalimantan (00°59’N, 113°059’E); 160 m alt., ♀, young infruct",1,160,7,5,1,1,0,1,40,0,6,20,4,20,5,19,4,9,2.6,0,2,1,0,,8,7.0,1,0,,,6,0,1,0.8,0,1
63,Van Valkenburg JVV 1320,L 0372224,javensis,"Dilang Putih, Bantian Besar, Kutai, east Kalimantan; 50 m alt",1,50,7,5,2,1,1,1,50,2,6,19,4,17,5,19,5,11,2.5,,,,,,,,,,,,,,,,,1
64,EF de Vogel 1769,,javensis,"Near Mt. Sarempaka, Muara Uja, Kab. Tanjung, South Kalimantan (01°049’N, 115°044’E); 450 m alt",1,450,9,5,2,0,1,1,35,0,,16,3.5,15,5,13,3,9.5,1.5,2,2,2,,,,8.5,,1,0,,,,,,,1
65,Mogea 3988,L 3933440,javensis,"Mendawai area, Bukit Raya, Katingan, Central Kalimantan; 1650 m alt.; ♂ inflor.",1,1650,10,5,2,0,1,0,52,0,4,29,4,24,4,23,3.5,13,2,2,2,0,,,,10.0,,,3,0,,,,,,1
66,JD 5811,L 0617881,javensis,"Sapa Payau FR, Telupid, Sandakan, Sabah; 100 m alt",1,100,8,4,1,1,0,1,41,0,5,21,2,20,2.5,20,3.5,10,2,,,,,,,,,,,,,,,,,1
67,JD 4706,L 0617875,javensis,"Ulu Bulaga, Kuala Linau, Rumah Nyauing, Sg. Masoh, Sarawak; 200 m alt.; ♂",1,200,,5,0,,1,1,56,3,4,30,4.5,20,5,19,5,10,2.5,2,2,0,,,,6.0,,,1,0,,,,,,1
68,JD 4728,L 0617876,javensis,"Gunung Matang, Kuching, Sarawak; sterile",1,270,9,4,1,1,2,2,65,7,8,26,2.5,22,2.5,19,3,16,1.5,,,,,,,,,,,,,,,,,1
69,Cuadra A 3023,L 3933709,javensis,"Padas river, halojilat, Beaufort, Sandakan, North Borneo",1,11,6,3,1,1,1,1,63,7,5,24,3,23,3,18,3.5,5.5,2.5,,,,,,,,,,,,,,,,,1
70,Meijer SAN 21064,K 000113394,4: C. impar,"Bukit Ampuan, Ranau, Sandakan, North Borneo; 800 m alt; inflor",6,800,5,3,0,,2,2,31,7,2,25.5,2,,,,,11,2.5,0,1.4,0,,,,,1,1,,,,,,,,1
71,W. Ave 145,L 0617866,javensis,"Kp. Sekam, N.E. Tapah, Perak, Malaysia; 850 m alt.",1,850,6,3,1,1,2,1,28,1,4,16,3.5,16,2,11,2,8.5,1.5,,,,,,,,,,,,,,,,,
72,W. Ave 55,L 3933510,javensis,"Kp. Sekam, N.E. Tapah, Perak, Malaysia; 700 m alt.",1,700,4,2,1,1,1,1,55,30,4,17,2.5,16,2.5,11.5,2,9.5,1.5,,,,,,,,,,,,,,,,,
73,SAN 69853,L 0617909,javensis,"Sabah, Sandakan, Sipitang, mandulang-Maligan",1,16,16,10,0,0,1,1,55,5,6,17.5,2.5,18.5,3.5,23.5,4,13.5,1.5,2,1,0,2,,7,6.0,,,1,0,,,,,,
74,Rosemarry Gianno A 668,L 3933507,javensis,"Malaysia, Pahang, Tasek Bera",1,31,8,5,1,3,0,0,67,7,6,20,3,18,4,17,3.5,10,2.5,,,,,,,,,,,,,,,,,
75,Whitmore FRI 12330,L 3933505,javensis,"Malaysia, Kepong, NW Johore, Mt. Ledang (mt. ophir); 1500 m alt.; inflor",1,1500,6,4,1,1,1,1,34,2,5,15,2.5,16,2.5,10.5,3,6.5,0.8,0,2,2,,,,,1,0,,,,,,,,1
